I have got my Internet Banking User ID and Password; tell me what do I do?,"You can login with your Internet Banking User ID and Password. When you login for the first time you will get a screen, which will prompt you to change the Password. If you have been successful in changing your password, remember to login with the changed password. You will now come to the login home page, which is also called the My overview page.
It specifies your identity and informs you the last time you logged on to the site You will view the default widget on the home page (Overview of your relationship , short cut , calender , rewards etc)
You also get to see the mails that you may have received from your Account Manager and other alerts as specified by you.
On this page there is an overview of all the relationships that you have linked your Internet Banking User ID with. It can be Bank Account(s), Credit Card and Demat Account(s) , Insurance. The top navigational bar displays Overview , My accounts , Payments & Transfers , Investment & Insurance , Exclusive offerings & Customer Service.
"
Can I know the status on credit card payments?,"Yes, there is an option called View Last Credit received in Internet Banking Account, which will help you with this requirement of yours.
Please login to your Internet Banking Account > My Accounts> Credit Cards> View Last Credit Received.
It will show you the following details:
Last payment received date
Last payment amount
Payment due date
Next statement date
"
How do I register a new biller in Internet Banking?,"To register a biller, please follow the below mentioned steps:
Login to Internet Banking with your User ID and Password > Payments & Transfer > Manage Billers > Select the Biller you wish to register for and click 'Add to List'. You will see a screen that asks you for certain details, fill in the details and click 'Add to List'. A message is generated saying 'Addition to Personal Payee List Successful'.
Once you give an OK to this message the Biller is added to your list.

"
How do I delete a Registered Biller in Internet Banking?,"To delete a biller on Internet Banking, please follow the below steps:
• Login to your Internet Banking Account• Go to 'Payments & Transfer'• Click the link 'Manage Billers'• Select 'My Registered Billers'• Select the biller and you can delete the biller by clicking on the 'Remove Biller' option.
For billers who are in presentment mode, you will not be able to delete the biller if your bills are in 'Pending', 'Waiting for acceptance' or 'Rejected' status.
"
Can I have only one User ID for all ICICI Bank relationships?,"Yes, you can link all your ICICI Bank accounts and Credit Cards and Demat Accounts to one Internet Banking User ID. However there are certain rules for linking joint accounts.
To link 2 accounts to one User ID, it is mandatory that the Date of Birth, Name and communication address are identical in both the accounts.
Incase of joint accounts, the primary account holder details should match with the ICICI Bank Account to which it is being linked to.
"
What are the different biller categories?,"There are 3 categories of billers available:Presentment type: For these billers the bills are presented on www.icicibank.com and you can login and view your bill online. Once you register for a presentment type biller your details are sent to the biller and whenever your bill is generated (which would be the next billing cycle from your registration date), it is presented on www.icicibank.com from you to make the payment.Payments to such billers cannot be made immediately after registering for them, it usually takes 3-4 weeks after the date of registration for your bill to be presented online.Payment type: For these billers you can make the payments immediately after registering for them. The bills for these billers are not presented online and you can choose to pay any amount as desired by you.Hot payment type: For these billers you need to go to their web site for making the payments. These bills cannot be paid by logging on to www.icicibank.com.
You will continue to receive bills in the physical form, from the Biller in the same manner as received by you currently.
Shopping Mall type: For these billers you will have to go to the Shops (Biller) web site for making the payments. These bills cannot be paid by first logging on to www.icicibank.com.
"
Can I Pay my bills on the due date?,
What are the transactions that I can do online?,"You can
Check the Balance in your account
View/Download mini and detailed statement
Check transaction history
Transfer funds between your own ICICI Bank A/cs
Transfer funds to any ICICI Bank A/cs
Transfer funds to any Non-ICICI Bank A/c (Using NEFT , RTGS and IMPS facility) You can view pending transfers(if any) and also see all the past transactions that you have done using ICICI Bank Funds Transfer
Open recurring deposit and I_wish deposits , Fixed Deposit You can view pending transfers(if any) and also see all the past transactions that you have done using ICICI Bank Funds Transfer
Credit card
View current and past statement
Service requests like auto debit, dial a draft etc.
Demat
View your transaction and holding statement
Bill Payment
Use your ICICI Bank Account or ICICI Credit Card to pay your Utility bills , Credit card bills , telecom bills , SIP and insurance bills from the comfort of your home.
Recharge your Mobile and DTH connection online
Online Shopping using Using ICICI NET Banking payment gateway
"
I want to know more about Funds Transfer,"1. Ahmedabad
9. Kanpur
2. Banglore
10. Kolkatta
3. Bhubaneshwar
11. Mumbai
4. Chandigarh
12. Nagpur
5. Chennai
13. New Delhi
6. Guwahati
14. Patna
7. Hyderabad
15. Trivandrum
8. Jaipur
Funds Transfer (eCheques) between my own a/c's You can transfer funds to your own linked a/c's instantaneously or you can even schedule the transfer for a future date.
Funds Transfer (eCheques) to a third party a/c in ICICI Bank For doing a third party transfer in ICICI Bank, you will have to register the payee. On entering the payees complete A/c number you will get an online confirmation.Once the payee is registered you can transfer funds instantaneously.
Funds Transfer (eCheques) to an account in any Bank across 15 cities Using ICICI Bank Funds Transfer (eCheques) you can also transfer funds to any account in a bank other than ICICI Bank. This will again require the payee to be registered.This takes around 3 working days to get funds credited to the payee account.This facility is currently available for 15 cities:
"
How many passwords do I have for Internet Banking?,"You have only one password for Internet Banking i.e. Login password. The login password, as the name suggests is required to login to your Internet Banking account.
"
"If I am an individual and hold an ICICI Bank Current A/c as well as an ICICI Bank Savings Account/ Credit Card/ Demat Account, can I link these relationships to the same Internet Banking User ID?","Yes, if you are an individual and hold an ICICI Bank Current A/c in your own name, you can link the same to your ICICI Bank Savings Account/ Credit Card/ Demat Account under the same User ID.
Please click here for further details.
"
What are the advantages of doing an online Funds Transfer (eCheques)?,"Let us take a look at the comparison table for a better understanding.(for Inter A/c transfer)

"
How do I enable my ICICI Bank relationships on www.icicibank.com?,"If you have only one bank account, the User ID and password you get will enable you to view and transact on your bank account.
If more than one account needs to be linked to the same User ID, please click here "" Link your accounts online "" for a step-by-step guide on linking accounts.
"
What are the different Credit Card service requests that I can make online?,"You can make the following service requests online:
Auto DebitThis is an online facility for setting standing instructions for auto debit on your credit card.
Add-on-cardYou can submit an online request for a non-photo add-on-card.
Dial a draftYou can request for demand draft online. This would be shipped to your current mailing address of the credit card within 4 working days of submission of request.
Duplicate PIN RequestYou can also request for a duplicate PIN. The PIN will be shipped to you within 7 days of submission of the request at your current mailing address of the chosen credit card within 7 working days of submission of the request.
Replacement/Renewal Card Not Received
Queries Related to EMI-on-Call Facility
"
Can I also know about Credit Card Alerts?,"Yes, you can subscribe for the following alerts through ICICI Bank.com:
You can subscribe to receive these on any one or all of the options below:
Payment due date reminder
Card approaching credit limit.
SMS (please click here for more information ICICI Bank Mobile Banking Alerts)
Credit card Inbox.
E-mail.
"
Tell me more about Credit Card statements that I will be able to see on the site?,"You will be able to see the following details of your statements:
Current StatementThis shows the transactions that are done on the card account after the Last Statement was generated. These transactions will be sent to you in your next credit card statement. Transactions done on replacement and add-on cards are segregated for better understanding. Thus, you need not wait for a statement to check your recent transactions.
Last StatementThis is a replica of the most recent printed statement that has been sent to you. You can thus, make payments by looking at this statement.
Past StatementYou can see your statements as old as 2 years.
"
Can I make a payment after the due date of the bill?,"No, for Billers who are in Presentment mode payment cannot be made after the due date.
"
What are the different Demat service requests can I make online?,"You can make the following requests online:
Request for a Transfer Instruction Booklet.
"
Can I keep a track of the payments made by me?,"Yes, all you need to do is login, go to the Payments and transfers >>> Bill payment >>> Transaction status (On left hand side) and select ""Completed transaction"" this will give you the payments that have been made - Biller wise, for the Billers whom you have registered.
"
